"categoria","N","prop","dep_adm1","prov_adm2","dist_adm3"
"De 55 a 59 ",108,0.0496323529411765,"amazonas","chachapoyas","molinopampa"
"De 60 a 64 ",64,0.0294117647058824,"amazonas","chachapoyas","molinopampa"
"De 65 a 69 ",49,0.0225183823529412,"amazonas","chachapoyas","molinopampa"
"De 70 a 74 ",52,0.0238970588235294,"amazonas","chachapoyas","molinopampa"
"De 75 a 79 ",43,0.0197610294117647,"amazonas","chachapoyas","molinopampa"
"De 80 a 84 ",25,0.0114889705882353,"amazonas","chachapoyas","molinopampa"
"De 85 a 89 ",16,0.00735294117647059,"amazonas","chachapoyas","molinopampa"
"De 90 a 94 ",2,0.000919117647058824,"amazonas","chachapoyas","molinopampa"
"De 95 a más",2,0.000919117647058824,"amazonas","chachapoyas","molinopampa"
"De 0  a 4 ",40,0.0806451612903226,"amazonas","chachapoyas","montevideo"
"De 5  a 9 ",40,0.0806451612903226,"amazonas","chachapoyas","montevideo"
"De 10 a 14 ",49,0.0987903225806452,"amazonas","chachapoyas","montevideo"
"De 15 a 19 ",22,0.0443548387096774,"amazonas","chachapoyas","montevideo"
"De 20 a 24 ",19,0.0383064516129032,"amazonas","chachapoyas","montevideo"
"De 25 a 29 ",38,0.0766129032258065,"amazonas","chachapoyas","montevideo"
"De 30 a 34 ",27,0.0544354838709677,"amazonas","chachapoyas","montevideo"
"De 35 a 39 ",36,0.0725806451612903,"amazonas","chachapoyas","montevideo"
"De 40 a 44 ",19,0.0383064516129032,"amazonas","chachapoyas","montevideo"
"De 45 a 49 ",45,0.0907258064516129,"amazonas","chachapoyas","montevideo"
"De 50 a 54 ",29,0.0584677419354839,"amazonas","chachapoyas","montevideo"
"De 55 a 59 ",31,0.0625,"amazonas","chachapoyas","montevideo"
"De 60 a 64 ",23,0.0463709677419355,"amazonas","chachapoyas","montevideo"
"De 65 a 69 ",24,0.0483870967741935,"amazonas","chachapoyas","montevideo"
"De 70 a 74 ",18,0.0362903225806452,"amazonas","chachapoyas","montevideo"
"De 75 a 79 ",15,0.030241935483871,"amazonas","chachapoyas","montevideo"
"De 80 a 84 ",16,0.032258064516129,"amazonas","chachapoyas","montevideo"
"De 85 a 89 ",4,0.00806451612903226,"amazonas","chachapoyas","montevideo"
"De 90 a 94 ",1,0.00201612903225806,"amazonas","chachapoyas","montevideo"
"De 0  a 4 ",29,0.0773333333333333,"amazonas","chachapoyas","olleros"
"De 5  a 9 ",29,0.0773333333333333,"amazonas","chachapoyas","olleros"
"De 10 a 14 ",24,0.064,"amazonas","chachapoyas","olleros"
"De 15 a 19 ",23,0.0613333333333333,"amazonas","chachapoyas","olleros"
"De 20 a 24 ",28,0.0746666666666667,"amazonas","chachapoyas","olleros"
"De 25 a 29 ",23,0.0613333333333333,"amazonas","chachapoyas","olleros"
"De 30 a 34 ",32,0.0853333333333333,"amazonas","chachapoyas","olleros"
"De 35 a 39 ",26,0.0693333333333333,"amazonas","chachapoyas","olleros"
"De 40 a 44 ",32,0.0853333333333333,"amazonas","chachapoyas","olleros"
"De 45 a 49 ",25,0.0666666666666667,"amazonas","chachapoyas","olleros"
"De 50 a 54 ",29,0.0773333333333333,"amazonas","chachapoyas","olleros"
"De 55 a 59 ",15,0.04,"amazonas","chachapoyas","olleros"
"De 60 a 64 ",16,0.0426666666666667,"amazonas","chachapoyas","olleros"
"De 65 a 69 ",13,0.0346666666666667,"amazonas","chachapoyas","olleros"
"De 70 a 74 ",14,0.0373333333333333,"amazonas","chachapoyas","olleros"
"De 75 a 79 ",9,0.024,"amazonas","chachapoyas","olleros"
"De 80 a 84 ",5,0.0133333333333333,"amazonas","chachapoyas","olleros"
"De 85 a 89 ",3,0.008,"amazonas","chachapoyas","olleros"
"De 0  a 4 ",51,0.0663198959687906,"amazonas","chachapoyas","quinjalca"
"De 5  a 9 ",71,0.0923276983094929,"amazonas","chachapoyas","quinjalca"
"De 10 a 14 ",48,0.0624187256176853,"amazonas","chachapoyas","quinjalca"
"De 15 a 19 ",45,0.05851755526658,"amazonas","chachapoyas","quinjalca"
"De 20 a 24 ",51,0.0663198959687906,"amazonas","chachapoyas","quinjalca"
"De 25 a 29 ",48,0.0624187256176853,"amazonas","chachapoyas","quinjalca"
"De 30 a 34 ",42,0.0546163849154746,"amazonas","chachapoyas","quinjalca"
"De 35 a 39 ",56,0.0728218465539662,"amazonas","chachapoyas","quinjalca"
"De 40 a 44 ",56,0.0728218465539662,"amazonas","chachapoyas","quinjalca"
"De 45 a 49 ",42,0.0546163849154746,"amazonas","chachapoyas","quinjalca"
"De 50 a 54 ",66,0.0858257477243173,"amazonas","chachapoyas","quinjalca"
"De 55 a 59 ",40,0.0520156046814044,"amazonas","chachapoyas","quinjalca"
"De 60 a 64 ",47,0.0611183355006502,"amazonas","chachapoyas","quinjalca"
"De 65 a 69 ",33,0.0429128738621586,"amazonas","chachapoyas","quinjalca"
"De 70 a 74 ",27,0.035110533159948,"amazonas","chachapoyas","quinjalca"
"De 75 a 79 ",15,0.0195058517555267,"amazonas","chachapoyas","quinjalca"
"De 80 a 84 ",22,0.0286085825747724,"amazonas","chachapoyas","quinjalca"
"De 85 a 89 ",7,0.00910273081924577,"amazonas","chachapoyas","quinjalca"
"De 95 a más",2,0.00260078023407022,"amazonas","chachapoyas","quinjalca"
"De 0  a 4 ",14,0.0474576271186441,"amazonas","chachapoyas","san francisco de daguas"
"De 5  a 9 ",21,0.0711864406779661,"amazonas","chachapoyas","san francisco de daguas"
"De 10 a 14 ",15,0.0508474576271186,"amazonas","chachapoyas","san francisco de daguas"
"De 15 a 19 ",24,0.0813559322033898,"amazonas","chachapoyas","san francisco de daguas"
"De 20 a 24 ",15,0.0508474576271186,"amazonas","chachapoyas","san francisco de daguas"
"De 25 a 29 ",14,0.0474576271186441,"amazonas","chachapoyas","san francisco de daguas"
"De 30 a 34 ",15,0.0508474576271186,"amazonas","chachapoyas","san francisco de daguas"
